,LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
0,E01000001,City of London 001A,E09000001,City of London,6.208,29199,9,0.007,32831,10,0.01,32742,10,0.024,32842,10,-1.654,32113,10,-2.012,32662,10,29.472,7319,3,31.873,7789,3
1,E01000002,City of London 001B,E09000001,City of London,5.143,30379,10,0.034,29901,10,0.027,31190,10,0.063,32832,10,-1.115,29705,10,-2.343,32789,10,24.412,11707,4,23.084,13070,4
2,E01000003,City of London 001C,E09000001,City of London,19.402,14915,5,0.086,18510,6,0.086,15103,5,5.804,26386,9,-0.102,17600,6,-1.032,29363,9,40.103,2157,1,40.535,4092,2
3,E01000005,City of London 001E,E09000001,City of London,28.652,8678,3,0.211,6029,2,0.136,7833,3,22.26,12370,4,-0.121,17907,6,-1.317,31059,10,39.9,2217,1,28.979,9397,3
4,E01032739,City of London 001F,E09000001,City of London,13.584,20391,7,0.014,32638,10,0.011,32727,10,1.771,31135,10,-0.676,25654,8,-1.56,31947,10,46.314,837,1,49.165,2040,1
5,E01032740,City of London 001G,E09000001,City of London,15.841,18089,6,0.024,31774,10,0.035,29443,9,2.259,30578,10,-0.355,21520,7,-1.701,32292,10,37.427,3054,1,68.585,130,1
6,E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.837,14486,5,0.117,14023,5,0.059,21692,7,14.798,17511,6,-0.359,21581,7,-0.147,18848,6,45.171,1033,1,26.888,10629,4
7,E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.576,7256,3,0.207,6261,2,0.107,11487,4,11.385,20536,7,-0.027,16414,5,0.846,4925,2,50.42,274,1,25.995,11162,4
8,E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.596,5010,2,0.265,3382,2,0.151,6431,2,25.506,10569,4,0.25,12334,4,0.353,11113,4,45.413,981,1,30.233,8672,3
9,E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.844,6736,3,0.187,7506,3,0.109,11132,4,15.713,16819,6,0.454,9661,3,0.895,4431,2,48.119,554,1,28.601,9611,3
10,E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.437,6900,3,0.169,8902,3,0.073,17988,6,11.762,20182,7,-0.002,16050,5,1.214,2164,1,50.58,259,1,47.932,2269,1
11,E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.679,7698,3,0.167,9033,3,0.081,16108,5,22.519,12224,4,-0.137,18178,6,0.526,8727,3,52.948,110,1,39.857,4309,2
12,E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.714,5990,2,0.239,4570,2,0.096,13201,5,19.774,13896,5,-0.056,16887,6,0.542,8515,3,56.507,39,1,36.881,5437,2
13,E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,38.997,4573,2,0.213,5966,2,0.145,7013,3,24.003,11346,4,0.67,7172,3,1.199,2236,1,45.252,1018,1,30.424,8569,3
14,E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.67,5650,2,0.201,6627,3,0.135,7932,3,31.501,7994,3,0.35,10972,4,0.825,5163,2,46.135,872,1,25.122,11704,4
15,E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.632,6405,2,0.216,5755,2,0.123,9271,3,26.013,10318,4,0.025,15626,5,0.372,10845,4,50.4,278,1,25.696,11351,4
16,E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.839,6739,3,0.199,6711,3,0.122,9461,3,28.996,8971,3,0.373,10676,4,0.528,8699,3,43.772,1273,1,24.95,11815,4
17,E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.004,4570,2,0.25,4033,2,0.169,5016,2,22.899,11972,4,0.694,6950,3,0.317,11685,4,45.929,902,1,27.688,10141,4
18,E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.406,6504,2,0.212,5998,2,0.136,7832,3,26.358,10125,4,0.273,12006,4,0.457,9663,3,43.512,1323,1,25.659,11373,4
19,E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.62,6410,2,0.194,7049,3,0.138,7641,3,26.111,10264,4,0.477,9374,3,0.645,7142,3,41.248,1855,1,26.826,10667,4
20,E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.035,5520,2,0.216,5760,2,0.131,8401,3,24.184,11245,4,0.76,6282,2,0.651,7066,3,43.518,1319,1,30.078,8756,3
21,E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.888,4611,2,0.23,5007,2,0.136,7865,3,31.637,7939,3,0.418,10085,4,0.559,8283,3,45.544,961,1,44.214,3095,1
22,E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.413,6098,2,0.195,6941,3,0.139,7576,3,27.111,9771,3,0.427,9980,4,0.506,9002,3,44.277,1191,1,30.435,8559,3
23,E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.877,5243,2,0.228,5088,2,0.108,11325,4,22.994,11907,4,0.033,15505,5,1.286,1812,1,45.846,912,1,39.968,4268,2
24,E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.339,8333,3,0.155,10056,4,0.1,12570,4,29.298,8860,3,0.263,12148,4,0.244,12816,4,45.704,940,1,29.869,8892,3
25,E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.702,5303,2,0.219,5570,2,0.138,7683,3,25.691,10465,4,0.395,10405,4,0.837,5042,2,47.029,707,1,28.042,9925,4
26,E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,37.347,5097,2,0.216,5730,2,0.146,6959,3,38.122,5869,2,0.148,13752,5,1.042,3211,1,44.976,1062,1,20.329,15032,5
