LSOA code (2011),Unnamed: 0,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),pcd7,pcd8,pcds,dointr,doterm,usertype,oa11,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw,FID
E01000001,0,City of London 001A,E09000001,City of London,6.207999999999999,29199,9,0.006999999999999999,32831,10,0.01,32742,10,0.024,32842,10,-1.6540000000000001,32113,10,-2.012,32662,10,29.471999999999998,7319,3,31.873,7789,3,EC1A7LE,EC1A 7LE,EC1A 7LE,198001,198212,1,E00000007,E02000001,E09000001,City of London 001A,City of London 001,City of London,,742012
E01000002,1,City of London 001B,E09000001,City of London,5.143,30379,10,0.034,29901,10,0.027000000000000003,31190,10,0.063,32832,10,-1.115,29705,10,-2.343,32789,10,24.412,11707,4,23.084,13070,4,EC1Y4UB,EC1Y 4UB,EC1Y 4UB,198001,199012,1,E00000019,E02000001,E09000001,City of London 001B,City of London 001,City of London,,745775
E01000003,2,City of London 001C,E09000001,City of London,19.402,14915,5,0.086,18510,6,0.086,15103,5,5.803999999999999,26386,9,-0.102,17600,6,-1.032,29363,9,40.103,2157,1,40.535,4092,2,EC1Y0AA,EC1Y 0AA,EC1Y 0AA,201507,0,0,E00000023,E02000001,E09000001,City of London 001C,City of London 001,City of London,,745367
E01000005,3,City of London 001E,E09000001,City of London,28.651999999999997,8678,3,0.21100000000000002,6029,2,0.136,7833,3,22.26,12370,4,-0.121,17907,6,-1.317,31059,10,39.9,2217,1,28.979,9397,3,E1  7DJ,E1   7DJ,E1 7DJ,198001,0,0,E00000029,E02000001,E09000001,City of London 001E,City of London 001,City of London,,716453
E01032739,4,City of London 001F,E09000001,City of London,13.584000000000001,20391,7,0.013999999999999999,32638,10,0.011000000000000001,32727,10,1.771,31135,10,-0.6759999999999999,25654,8,-1.56,31947,10,46.31399999999999,837,1,49.165,2040,1,E1  6AN,E1   6AN,E1 6AN,198001,0,0,E00166755,E02000001,E09000001,City of London 001F,City of London 001,City of London,,716004
E01032740,5,City of London 001G,E09000001,City of London,15.841,18089,6,0.024,31774,10,0.035,29443,9,2.259,30578,10,-0.355,21520,7,-1.7009999999999998,32292,10,37.427,3054,1,68.585,130,1,EC1A7LD,EC1A 7LD,EC1A 7LD,198001,0,0,E00000027,E02000001,E09000001,City of London 001G,City of London 001,City of London,,742007
E01000006,6,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.837,14486,5,0.11699999999999999,14023,5,0.059000000000000004,21692,7,14.798,17511,6,-0.359,21581,7,-0.147,18848,6,45.17100000000001,1033,1,26.888,10629,4,IG119XD,IG11 9XD,IG11 9XD,199208,199612,1,E00000055,E02000017,E09000002,Barking and Dagenham 016A,Barking and Dagenham 016,Barking and Dagenham,,1050085
E01000007,7,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.576,7256,3,0.207,6261,2,0.107,11487,4,11.385,20536,7,-0.027000000000000003,16414,5,0.846,4925,2,50.42,274,1,25.995,11162,4,IG118AH,IG11 8AH,IG11 8AH,199706,199812,1,E00000046,E02000016,E09000002,Barking and Dagenham 015A,Barking and Dagenham 015,Barking and Dagenham,,1049268
E01000008,8,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.596,5010,2,0.265,3382,2,0.151,6431,2,25.506,10569,4,0.25,12334,4,0.353,11113,4,45.413000000000004,981,1,30.233,8672,3,IG118AD,IG11 8AD,IG11 8AD,200807,0,0,E00000056,E02000016,E09000002,Barking and Dagenham 015B,Barking and Dagenham 015,Barking and Dagenham,,1049264
E01000009,9,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.844,6736,3,0.187,7506,3,0.109,11132,4,15.713,16819,6,0.45399999999999996,9661,3,0.895,4431,2,48.119,554,1,28.601,9611,3,IG119XH,IG11 9XH,IG11 9XH,198001,0,0,E00000051,E02000017,E09000002,Barking and Dagenham 016B,Barking and Dagenham 016,Barking and Dagenham,,1050089
E01000010,10,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.437,6900,3,0.16899999999999998,8902,3,0.073,17988,6,11.762,20182,7,-0.002,16050,5,1.214,2164,1,50.58,259,1,47.931999999999995,2269,1,IG117FD,IG11 7FD,IG11 7FD,200809,0,0,E00175104,E02000016,E09000002,Barking and Dagenham 015C,Barking and Dagenham 015,Barking and Dagenham,,1049226
E01000011,11,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.679000000000002,7698,3,0.16699999999999998,9033,3,0.081,16108,5,22.519000000000002,12224,4,-0.13699999999999998,18178,6,0.526,8727,3,52.948,110,1,39.857,4309,2,IG118QE,IG11 8QE,IG11 8QE,198604,198612,1,E00000068,E02000017,E09000002,Barking and Dagenham 016C,Barking and Dagenham 016,Barking and Dagenham,,1049969
E01000012,12,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.714,5990,2,0.239,4570,2,0.096,13201,5,19.774,13896,5,-0.055999999999999994,16887,6,0.542,8515,3,56.507,39,1,36.881,5437,2,IG118SD,IG11 8SD,IG11 8SD,201505,0,0,E00000065,E02000016,E09000002,Barking and Dagenham 015D,Barking and Dagenham 015,Barking and Dagenham,,1049662
E01000013,13,Barking and Dagenham 013A,E09000002,Barking and Dagenham,38.997,4573,2,0.213,5966,2,0.145,7013,3,24.003,11346,4,0.67,7172,3,1.199,2236,1,45.251999999999995,1018,1,30.424,8569,3,RM108DP,RM10 8DP,RM10 8DP,198001,0,0,E00000093,E02000014,E09000002,Barking and Dagenham 013A,Barking and Dagenham 013,Barking and Dagenham,,1907215
E01000014,14,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.67,5650,2,0.201,6627,3,0.135,7932,3,31.500999999999998,7994,3,0.35,10972,4,0.825,5163,2,46.135,872,1,25.122,11704,4,RM108NJ,RM10 8NJ,RM10 8NJ,198001,0,0,E00000087,E02000014,E09000002,Barking and Dagenham 013B,Barking and Dagenham 013,Barking and Dagenham,,1907222
E01000015,15,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.632,6405,2,0.21600000000000003,5755,2,0.12300000000000001,9271,3,26.013,10318,4,0.025,15626,5,0.37200000000000005,10845,4,50.4,278,1,25.695999999999998,11351,4,RM108GX,RM10 8GX,RM10 8GX,200701,0,0,E00000095,E02000010,E09000002,Barking and Dagenham 009A,Barking and Dagenham 009,Barking and Dagenham,,1907205
E01000016,16,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.839,6739,3,0.19899999999999998,6711,3,0.122,9461,3,28.996,8971,3,0.373,10676,4,0.528,8699,3,43.772,1273,1,24.95,11815,4,RM107AN,RM10 7AN,RM10 7AN,198001,0,0,E00000100,E02000010,E09000002,Barking and Dagenham 009B,Barking and Dagenham 009,Barking and Dagenham,,1906865
E01000017,17,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.004,4570,2,0.25,4033,2,0.16899999999999998,5016,2,22.899,11972,4,0.6940000000000001,6950,3,0.317,11685,4,45.928999999999995,902,1,27.688000000000002,10141,4,RM108PT,RM10 8PT,RM10 8PT,198001,0,0,E00000073,E02000010,E09000002,Barking and Dagenham 009C,Barking and Dagenham 009,Barking and Dagenham,,1907443
E01000018,18,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.406,6504,2,0.212,5998,2,0.136,7832,3,26.358,10125,4,0.273,12006,4,0.457,9663,3,43.512,1323,1,25.659000000000002,11373,4,RM108DH,RM10 8DH,RM10 8DH,199704,200009,1,E00000079,E02000010,E09000002,Barking and Dagenham 009D,Barking and Dagenham 009,Barking and Dagenham,,1907201
E01000019,19,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.62,6410,2,0.19399999999999998,7049,3,0.138,7641,3,26.111,10264,4,0.47700000000000004,9374,3,0.645,7142,3,41.248000000000005,1855,1,26.826,10667,4,RM8 2UT,RM8  2UT,RM8 2UT,198001,0,0,E00000115,E02006799,E09000002,Barking and Dagenham 023A,Barking and Dagenham 023,Barking and Dagenham,,1919602
E01000020,20,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.035,5520,2,0.21600000000000003,5760,2,0.131,8401,3,24.184,11245,4,0.76,6282,2,0.6509999999999999,7066,3,43.518,1319,1,30.078000000000003,8756,3,RM8 2UU,RM8  2UU,RM8 2UU,198001,0,0,E00000110,E02006799,E09000002,Barking and Dagenham 023B,Barking and Dagenham 023,Barking and Dagenham,,1919603
E01000021,21,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.888000000000005,4611,2,0.23,5007,2,0.136,7865,3,31.636999999999997,7939,3,0.418,10085,4,0.5589999999999999,8283,3,45.544,961,1,44.214,3095,1,RM8 2UR,RM8  2UR,RM8 2UR,198001,0,0,E00000117,E02000009,E09000002,Barking and Dagenham 008A,Barking and Dagenham 008,Barking and Dagenham,,1919601
E01000022,22,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.413000000000004,6098,2,0.195,6941,3,0.139,7576,3,27.111,9771,3,0.42700000000000005,9980,4,0.506,9002,3,44.277,1191,1,30.435,8559,3,RM8 2RD,RM8  2RD,RM8 2RD,198001,0,0,E00000124,E02000009,E09000002,Barking and Dagenham 008B,Barking and Dagenham 008,Barking and Dagenham,,1919662
E01000023,23,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.876999999999995,5243,2,0.228,5088,2,0.10800000000000001,11325,4,22.994,11907,4,0.033,15505,5,1.286,1812,1,45.846000000000004,912,1,39.968,4268,2,IG119EL,IG11 9EL,IG11 9EL,199101,0,0,E00000126,E02000009,E09000002,Barking and Dagenham 008C,Barking and Dagenham 008,Barking and Dagenham,,1049717
E01000024,24,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.339000000000002,8333,3,0.155,10056,4,0.1,12570,4,29.298000000000002,8860,3,0.263,12148,4,0.244,12816,4,45.70399999999999,940,1,29.869,8892,3,RM8 2LZ,RM8  2LZ,RM8 2LZ,199405,199806,1,E00000102,E02000009,E09000002,Barking and Dagenham 008D,Barking and Dagenham 008,Barking and Dagenham,,1919676
E01000025,25,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.702,5303,2,0.21899999999999997,5570,2,0.138,7683,3,25.691,10465,4,0.395,10405,4,0.8370000000000001,5042,2,47.028999999999996,707,1,28.041999999999998,9925,4,RM8 2YJ,RM8  2YJ,RM8 2YJ,198001,0,0,E00000134,E02000009,E09000002,Barking and Dagenham 008E,Barking and Dagenham 008,Barking and Dagenham,,1919644
E01000027,26,Barking and Dagenham 001A,E09000002,Barking and Dagenham,37.347,5097,2,0.21600000000000003,5730,2,0.146,6959,3,38.122,5869,2,0.14800000000000002,13752,5,1.042,3211,1,44.976000000000006,1062,1,20.329,15032,5,RM5 2BY,RM5  2BY,RM5 2BY,199002,199906,1,E00000156,E02000002,E09000002,Barking and Dagenham 001A,Barking and Dagenham 001,Barking and Dagenham,,1916871
E01000028,27,Barking and Dagenham 001B,E09000002,Barking and Dagenham,40.078,4240,2,0.26,3610,2,0.155,6080,2,27.699,9522,3,1.138,3254,1,-0.111,18303,6,48.625,494,1,16.282,18166,6,RM6 5JL,RM6  5JL,RM6 5JL,198001,0,0,E00000137,E02000002,E09000002,Barking and Dagenham 001B,Barking and Dagenham 001,Barking and Dagenham,,1917663
E01000029,28,Barking and Dagenham 001C,E09000002,Barking and Dagenham,22.503,12389,4,0.113,14506,5,0.075,17567,6,17.349,15570,5,-0.28,20355,7,0.35,11162,4,47.51,627,1,21.974,13867,5,RM6 5ES,RM6  5ES,RM6 5ES,198001,0,0,E00000140,E02000002,E09000002,Barking and Dagenham 001C,Barking and Dagenham 001,Barking and Dagenham,,1917681
