,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,R1H12,THE ROYAL LONDON HOSPITAL,Y56,Q71,WHITECHAPEL,,,LONDON,GREATER LONDON,E1 1BB,20120401.0,,,,,,,,,,,0.0,,H,,,
1,R1H13,MILE END HOSPITAL,Y56,Q71,BANCROFT ROAD,,,LONDON,GREATER LONDON,E1 4DG,20120401.0,,,,,,,,,,,0.0,,H,,,
2,R1H83,THE LONDON CHEST HOSPITAL,Y56,Q71,BONNER ROAD,,,LONDON,GREATER LONDON,E2 9JX,20120401.0,,,,,,,,,,,0.0,,H,,,
3,R1HK2,CHINGFORD HOSPITAL,Y56,Q71,LARKSHALL ROAD,,,LONDON,GREATER LONDON,E4 6UN,20120401.0,,,,,,,,,,,0.0,,H,,,
4,R1HKH,WHIPPS CROSS UNIVERSITY HOSPITAL,Y56,Q71,WHIPPS CROSS ROAD,,,LONDON,GREATER LONDON,E11 1NR,20120401.0,,,,,,,,,,,0.0,,H,,,
5,R1HKJ,WANSTEAD HOSPITAL,Y56,Q71,MAKEPEACE ROAD,,,LONDON,GREATER LONDON,E11 1UU,20120401.0,,,,,,,,,,,0.0,,H,,,
6,R1HM0,ST BARTHOLOMEW'S HOSPITAL,Y56,Q71,WEST SMITHFIELD,,,LONDON,GREATER LONDON,EC1A 7BE,20120401.0,,,,,,,,,,,0.0,,H,,,
7,R1HNH,NEWHAM GENERAL HOSPITAL,Y56,Q71,GLEN ROAD,,,LONDON,GREATER LONDON,E13 8SL,20120401.0,,,,,,,,,,,0.0,,H,,,
8,R1K02,CENTRAL MIDDLESEX HOSPITAL,Y56,Q71,ACTON LANE,,,LONDON,GREATER LONDON,NW10 7NS,20141001.0,,,,,,,,,,,0.0,,H,,,
9,R1K68,CLAYPONDS HOSPITAL,Y56,Q71,STERLING PLACE,,,LONDON,GREATER LONDON,W5 4RN,20150401.0,,,,,,,,,,,0.0,,H,,,
10,R1KCH,EALING HOSPITAL CHILD HEALTH,Y56,Q71,CP HOUSE,97-107 UXBRIDGE ROAD,,LONDON,GREATER LONDON,W5 5TL,20141001.0,,,,,,,,,,,0.0,,H,,,
