DATASET,YEAR,GEOGRAPHY_CODE,SUB_ICB_LOC_CODE,SUB_ICB_LOC_NAME,INDICATOR,SEX,AGE_BAND,VALUE
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO1_REG,ALL,ALL,67490
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDO2_REG,ALL,ALL,66157
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,ALL,ALL,66572
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,0 to 9,3203
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,10 to 13,1319
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,14 to 17,1390
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,18 to 24,2231
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,25 to 34,3567
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,35 to 44,3548
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,45 to 49,2261
HEALTH AND CARE OF PEOPLE WITH LEARNING DISABILITIES,2017-18,E38000130,00L,NHS North East and North Cumbria ICB - 00L,LDOB001,F,50 to 54,2639
