,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
1,2023-04-01,2024-03-31,0.0032034155150538605,5845.0,1824615,female,0 to 9
2,2023-04-01,2024-03-31,0.01897295932476464,31560.0,1663420,female,10 to 17
3,2023-04-01,2024-03-31,0.022807976862618505,34620.0,1517890,female,18 to 24
4,2023-04-01,2024-03-31,0.016517792102868193,43650.0,2642605,female,25 to 34
5,2023-04-01,2024-03-31,0.009248397378929532,23415.0,2531790,female,35 to 44
6,2023-04-01,2024-03-31,0.00520493083761752,10995.0,2112420,female,45 to 54
7,2023-04-01,2024-03-31,0.0020520213791994854,4085.0,1990720,female,55 to 64
8,2023-04-01,2024-03-31,0.0007338019366753505,1045.0,1424090,female,65 to 74
9,2023-04-01,2024-03-31,0.0003122350110761262,475.0,1521290,female,75 and over
10,2023-04-01,2024-03-31,0.009156200450638405,17555.0,1917280,male,0 to 9
11,2023-04-01,2024-03-31,0.048644269634616925,84965.0,1746660,male,10 to 17
12,2023-04-01,2024-03-31,0.03986767982016301,59235.0,1485790,male,18 to 24
13,2023-04-01,2024-03-31,0.026269125734166322,70220.0,2673100,male,25 to 34
14,2023-04-01,2024-03-31,0.011182537492635708,29990.0,2681860,male,35 to 44
15,2023-04-01,2024-03-31,0.004893575223543902,11085.0,2265215,male,45 to 54
16,2023-04-01,2024-03-31,0.002127919476204437,4355.0,2046600,male,55 to 64
17,2023-04-01,2024-03-31,0.000853248651496153,1150.0,1347790,male,65 to 74
18,2023-04-01,2024-03-31,0.0003842475578932987,450.0,1171120,male,75 and over
20,2022-04-01,2023-03-31,0.002568114378203399,4760.0,1853500,female,0 to 9
21,2022-04-01,2023-03-31,0.015074050362135247,24840.0,1647865,female,10 to 17
22,2022-04-01,2023-03-31,0.018088067593636313,27520.0,1521445,female,18 to 24
23,2022-04-01,2023-03-31,0.011989229948997043,31370.0,2616515,female,25 to 34
24,2022-04-01,2023-03-31,0.006205969800966401,15425.0,2485510,female,35 to 44
25,2022-04-01,2023-03-31,0.0034528571160310217,7355.0,2130120,female,45 to 54
26,2022-04-01,2023-03-31,0.001417696395253755,2800.0,1975035,female,55 to 64
27,2022-04-01,2023-03-31,0.0006163975764368017,880.0,1427650,female,65 to 74
28,2022-04-01,2023-03-31,0.0003136239582012665,470.0,1498610,female,75 and over
29,2022-04-01,2023-03-31,0.007955359596120414,15490.0,1947115,male,0 to 9
30,2022-04-01,2023-03-31,0.04333675075447995,75030.0,1731325,male,10 to 17
31,2022-04-01,2023-03-31,0.035986285159450196,53370.0,1483065,male,18 to 24
32,2022-04-01,2023-03-31,0.023157616693709672,61370.0,2650100,male,25 to 34
33,2022-04-01,2023-03-31,0.008532597975997208,22495.0,2636360,male,35 to 44
34,2022-04-01,2023-03-31,0.003711185539536628,8460.0,2279595,male,45 to 54
35,2022-04-01,2023-03-31,0.0016467327493052462,3345.0,2031295,male,55 to 64
36,2022-04-01,2023-03-31,0.0007941750599342394,1070.0,1347310,male,65 to 74
37,2022-04-01,2023-03-31,0.0003917165017104954,450.0,1148790,male,75 and over
39,2021-04-01,2022-03-31,0.002067771242155224,3907.0,1889474,female,0 to 9
40,2021-04-01,2022-03-31,0.012144573272586882,19739.0,1625335,female,10 to 17
41,2021-04-01,2022-03-31,0.013121444642938277,19927.0,1518659,female,18 to 24
42,2021-04-01,2022-03-31,0.007802597466331625,20351.0,2608234,female,25 to 34
43,2021-04-01,2022-03-31,0.0037196683110881775,9054.0,2434088,female,35 to 44
44,2021-04-01,2022-03-31,0.0021333111402395467,4614.0,2162835,female,45 to 54
45,2021-04-01,2022-03-31,0.0009407621348606282,1841.0,1956924,female,55 to 64
46,2021-04-01,2022-03-31,0.00039748105040253613,574.0,1444094,female,65 to 74
47,2021-04-01,2022-03-31,0.00021682965142084596,319.0,1471201,female,75 and over
48,2021-04-01,2022-03-31,0.007087326181321838,14061.0,1983964,male,0 to 9
49,2021-04-01,2022-03-31,0.03950084344688627,67439.0,1707280,male,10 to 17
50,2021-04-01,2022-03-31,0.032525786144784304,48036.0,1476859,male,18 to 24
51,2021-04-01,2022-03-31,0.020339137656138057,53514.0,2631085,male,25 to 34
52,2021-04-01,2022-03-31,0.006370588137373356,16456.0,2583121,male,35 to 44
53,2021-04-01,2022-03-31,0.0027388527869870545,6333.0,2312282,male,45 to 54
54,2021-04-01,2022-03-31,0.0012313360144468827,2484.0,2017321,male,55 to 64
55,2021-04-01,2022-03-31,0.0005098288987769249,694.0,1361241,male,65 to 74
56,2021-04-01,2022-03-31,0.0002377604750919087,266.0,1118773,male,75 and over
58,2020-04-01,2021-03-31,0.0018888108240509272,3632.0,1922903,female,0 to 9
59,2020-04-01,2021-03-31,0.010193812942779634,16248.0,1593908,female,10 to 17
60,2020-04-01,2021-03-31,0.009597355454342257,14470.0,1507707,female,18 to 24
61,2020-04-01,2021-03-31,0.005488085625241492,14232.0,2593254,female,25 to 34
62,2020-04-01,2021-03-31,0.002505932677211227,5979.0,2385938,female,35 to 44
63,2020-04-01,2021-03-31,0.0015421110722659789,3370.0,2185316,female,45 to 54
