FAKE_DATA,measure,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.8,140,175,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.6,15,25,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.7,35,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.7142857142857143,25,35,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.875,35,40,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.875,35,40,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.75,30,40,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.625,25,40,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.7741935483870968,120,155,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.7142857142857143,25,35,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.5,15,30,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.75,30,40,female,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.8181818181818182,45,55,male,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.8333333333333334,25,30,male,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.6666666666666666,30,45,male,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.625,25,40,female,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.5,15,30,male,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2016-04-01,2017-03-31,0.7,35,50,male,25 to 34
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.8285714285714286,145,175,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.6,15,25,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_02,2017-04-01,2018-03-31,0.7,35,50,female,35 to 44
