FAKE_DATA,denominator,sex,age_band,measure,interval_start,interval_end,ratio,numerator
FAKE_DATA,345,female,35 and over,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0289855072463768,10
FAKE_DATA,25,female,10 to 17,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,35,male,10 to 17,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,330,male,35 and over,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0454545454545454,15
FAKE_DATA,35,female,18 to 24,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,25,female,0 to 9,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,30,male,18 to 24,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,40,female,25 to 34,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,25,male,0 to 9,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,50,male,25 to 34,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-04-01,2016-04-30,0.0,0
FAKE_DATA,345,female,35 and over,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,25,female,10 to 17,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,35,male,10 to 17,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,330,male,35 and over,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0454545454545454,15
FAKE_DATA,35,female,18 to 24,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,25,female,0 to 9,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,30,male,18 to 24,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,40,female,25 to 34,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,25,male,0 to 9,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
FAKE_DATA,50,male,25 to 34,Table_3_percentage_of_people_with_ADHD_then_have_had_meds_in_the_last_6_months01_09_2025_16_02,2016-05-01,2016-05-31,0.0,0
