FAKE_DATA,measure,interval_start,interval_end,ratio,numerator,denominator,sex,age_band
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.625,75,120,male,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.4285714285714285,15,35,male,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.6,30,50,female,35 to 44
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.7142857142857143,25,35,male,55 to 64
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.4285714285714285,15,35,female,10 to 17
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.6666666666666666,30,45,female,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.625,125,200,female,75 and over
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.5,25,50,female,45 to 54
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.5,20,40,male,65 to 74
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.5555555555555556,25,45,female,18 to 24
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.3333333333333333,20,60,female,0 to 9
FAKE_DATA,Table_3_with_ADHD_that_are_prescribed_ADHD_medication01_09_2025_16_03,2016-04-01,2017-03-31,0.5,25,50,female,55 to 64
