FAKE_DATA,median,size,timestamp,Unnamed: 0,age_band,year_of_medication,sex,mean
FAKE_DATA,122,10.0,01_09_2025_16_05,0,0 to 9,2016-2017,female,116
FAKE_DATA,30,10.0,01_09_2025_16_05,1,0 to 9,2016-2017,male,68
FAKE_DATA,52,10.0,01_09_2025_16_05,2,0 to 9,2017-2018,female,84
FAKE_DATA,7,10.0,01_09_2025_16_05,3,0 to 9,2017-2018,male,35
FAKE_DATA,52,10.0,01_09_2025_16_05,4,0 to 9,2018-2019,female,65
FAKE_DATA,65,10.0,01_09_2025_16_05,5,0 to 9,2018-2019,male,62
FAKE_DATA,17,10.0,01_09_2025_16_05,6,0 to 9,2019-2020,female,21
FAKE_DATA,86,10.0,01_09_2025_16_05,7,0 to 9,2019-2020,male,97
FAKE_DATA,31,10.0,01_09_2025_16_05,8,0 to 9,2020-2021,female,62
FAKE_DATA,85,10.0,01_09_2025_16_05,9,0 to 9,2020-2021,male,95
FAKE_DATA,35,10.0,01_09_2025_16_05,10,0 to 9,2021-2022,female,63
FAKE_DATA,24,10.0,01_09_2025_16_05,11,0 to 9,2021-2022,male,30
FAKE_DATA,69,10.0,01_09_2025_16_05,12,0 to 9,2022-2023,female,108
FAKE_DATA,163,10.0,01_09_2025_16_05,13,0 to 9,2022-2023,male,163
FAKE_DATA,32,10.0,01_09_2025_16_05,14,0 to 9,2023-2024,female,85
FAKE_DATA,94,10.0,01_09_2025_16_05,15,0 to 9,2023-2024,male,107
FAKE_DATA,17,20.0,01_09_2025_16_05,16,0 to 9,2024-2025,female,25
FAKE_DATA,18,10.0,01_09_2025_16_05,17,0 to 9,2024-2025,male,104
FAKE_DATA,82,10.0,01_09_2025_16_05,18,10 to 17,2016-2017,female,82
FAKE_DATA,675,10.0,01_09_2025_16_05,19,10 to 17,2018-2019,female,675
FAKE_DATA,86,10.0,01_09_2025_16_05,20,10 to 17,2018-2019,male,86
FAKE_DATA,26,10.0,01_09_2025_16_05,21,10 to 17,2019-2020,female,26
FAKE_DATA,381,10.0,01_09_2025_16_05,22,10 to 17,2019-2020,male,381
FAKE_DATA,151,10.0,01_09_2025_16_05,23,10 to 17,2020-2021,female,151
FAKE_DATA,545,10.0,01_09_2025_16_05,24,10 to 17,2020-2021,male,545
FAKE_DATA,166,10.0,01_09_2025_16_05,25,10 to 17,2021-2022,female,166
FAKE_DATA,52,10.0,01_09_2025_16_05,26,10 to 17,2022-2023,female,52
FAKE_DATA,45,10.0,01_09_2025_16_05,27,10 to 17,2022-2023,male,45
FAKE_DATA,276,10.0,01_09_2025_16_05,28,10 to 17,2023-2024,female,276
FAKE_DATA,549,10.0,01_09_2025_16_05,29,10 to 17,2023-2024,male,549
FAKE_DATA,539,10.0,01_09_2025_16_05,30,10 to 17,2024-2025,female,458
FAKE_DATA,136,10.0,01_09_2025_16_05,31,10 to 17,2024-2025,male,136
FAKE_DATA,256,10.0,01_09_2025_16_05,32,18 to 24,2016-2017,female,256
FAKE_DATA,747,10.0,01_09_2025_16_05,33,18 to 24,2016-2017,male,747
FAKE_DATA,567,10.0,01_09_2025_16_05,34,18 to 24,2017-2018,female,567
FAKE_DATA,786,10.0,01_09_2025_16_05,35,18 to 24,2018-2019,female,786
FAKE_DATA,411,10.0,01_09_2025_16_05,36,18 to 24,2019-2020,female,411
FAKE_DATA,94,10.0,01_09_2025_16_05,37,18 to 24,2021-2022,male,94
FAKE_DATA,662,10.0,01_09_2025_16_05,38,18 to 24,2022-2023,male,662
FAKE_DATA,638,10.0,01_09_2025_16_05,39,18 to 24,2023-2024,male,638
FAKE_DATA,27,10.0,01_09_2025_16_05,40,25 to 34,2018-2019,male,103
FAKE_DATA,323,10.0,01_09_2025_16_05,41,25 to 34,2021-2022,female,323
FAKE_DATA,1350,10.0,01_09_2025_16_05,42,25 to 34,2021-2022,male,1350
FAKE_DATA,779,10.0,01_09_2025_16_05,43,25 to 34,2022-2023,male,779
FAKE_DATA,313,10.0,01_09_2025_16_05,44,25 to 34,2023-2024,female,313
FAKE_DATA,1229,10.0,01_09_2025_16_05,45,25 to 34,2023-2024,male,1189
FAKE_DATA,1174,10.0,01_09_2025_16_05,46,25 to 34,2024-2025,male,1174
FAKE_DATA,1009,10.0,01_09_2025_16_05,47,35 and over,2016-2017,female,1009
FAKE_DATA,679,10.0,01_09_2025_16_05,48,35 and over,2016-2017,male,679
FAKE_DATA,767,10.0,01_09_2025_16_05,49,35 and over,2017-2018,female,767
FAKE_DATA,2354,10.0,01_09_2025_16_05,50,35 and over,2018-2019,female,2189
FAKE_DATA,1018,10.0,01_09_2025_16_05,51,35 and over,2018-2019,male,1018
FAKE_DATA,1238,10.0,01_09_2025_16_05,52,35 and over,2019-2020,male,1238
FAKE_DATA,3153,10.0,01_09_2025_16_05,53,35 and over,2020-2021,male,3153
FAKE_DATA,132,10.0,01_09_2025_16_05,54,35 and over,2021-2022,male,132
FAKE_DATA,1418,10.0,01_09_2025_16_05,55,35 and over,2022-2023,female,1418
FAKE_DATA,1707,10.0,01_09_2025_16_05,56,35 and over,2022-2023,male,1707
FAKE_DATA,2001,10.0,01_09_2025_16_05,57,35 and over,2023-2024,female,2001
FAKE_DATA,1046,10.0,01_09_2025_16_05,58,35 and over,2023-2024,male,1046
FAKE_DATA,1201,10.0,01_09_2025_16_05,59,35 and over,2024-2025,female,1201
FAKE_DATA,1344,10.0,01_09_2025_16_05,60,35 and over,2024-2025,male,1344
FAKE_DATA,70,10.0,01_09_2025_16_05,61,0 to 9,2016-2017,ALL,86
