Measure,interval_start,interval_end,sex,age_band,numerator,denominator,ratio
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,75 and over,50,714740,6.995550829672328e-05
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,18 to 24,4385,781025,0.0056144169520822
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,18 to 24,22415,862860,0.025977562988202026
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,10 to 17,5470,910410,0.006008281982842895
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,75 and over,70,968525,7.227485093311995e-05
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,10 to 17,24525,975630,0.02513760339472956
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,65 to 74,130,1061675,0.00012244801846139356
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,65 to 74,100,1124580,8.892208646783688e-05
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,0 to 9,2155,1224610,0.0017597439184720033
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,55 to 64,235,1269005,0.00018518445553800025
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,55 to 64,360,1283345,0.0002805169303655681
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,0 to 9,8910,1288920,0.006912764174657853
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,25 to 34,2790,1360925,0.0020500762349137534
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,35 to 44,1045,1370255,0.0007626317729181795
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,25 to 34,13985,1397295,0.010008623805280918
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,35 to 44,2160,1434245,0.0015060188461525053
ADHD_recorded_prevalence,2016-04-01,2017-03-31,female,45 to 54,650,1547650,0.00041999160016799666
ADHD_recorded_prevalence,2016-04-01,2017-03-31,male,45 to 54,1125,1602060,0.0007022208906033482
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,75 and over,55,731750,7.516228220020499e-05
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,18 to 24,4760,799355,0.005954801058353297
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,18 to 24,23325,881280,0.026467184095860567
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,10 to 17,5980,938800,0.006369833830421815
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,75 and over,75,981390,7.642221746706203e-05
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,10 to 17,26335,1003270,0.026249165229698886
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,65 to 74,150,1090400,0.0001375641966250917
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,65 to 74,120,1154565,0.000103935248340284
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,0 to 9,2420,1248775,0.0019378991411583351
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,55 to 64,285,1311080,0.0002173780394789029
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,0 to 9,9810,1314470,0.007463083980615762
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,55 to 64,450,1329265,0.0003385329486595976
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,35 to 44,1250,1392575,0.0008976177225643143
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,25 to 34,3485,1407490,0.002476038906137877
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,25 to 34,17110,1453065,0.011775109853998272
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,35 to 44,2720,1464840,0.0018568580868900358
ADHD_recorded_prevalence,2017-04-01,2018-03-31,female,45 to 54,785,1569730,0.0005000860020513082
ADHD_recorded_prevalence,2017-04-01,2018-03-31,male,45 to 54,1300,1629245,0.0007979155989430687
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,75 and over,55,760520,7.231893967285542e-05
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,18 to 24,5245,805705,0.006509826797649263
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,18 to 24,23980,889050,0.026972611214217422
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,10 to 17,6935,970950,0.007142489314588805
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,75 and over,80,1008070,7.935956828394854e-05
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,10 to 17,29125,1033725,0.028174804711117562
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,65 to 74,180,1107840,0.0001624783362218371
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,65 to 74,125,1172570,0.00010660344371764586
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,0 to 9,2745,1253975,0.002189038856436532
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,0 to 9,11320,1319945,0.008576114913878987
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,55 to 64,360,1353240,0.00026602819898909286
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,55 to 64,545,1375280,0.0003962829387470188
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,35 to 44,1555,1412660,0.0011007602678634633
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,25 to 34,4415,1436900,0.003072586818846127
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,25 to 34,20530,1493730,0.013744117076044534
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,35 to 44,3455,1493790,0.002312908775664585
ADHD_recorded_prevalence,2018-04-01,2019-03-31,female,45 to 54,960,1575515,0.0006093245700612181
ADHD_recorded_prevalence,2018-04-01,2019-03-31,male,45 to 54,1650,1639095,0.001006653061598016
ADHD_recorded_prevalence,2019-04-01,2020-03-31,male,75 and over,60,788150,7.6127640677536e-05
ADHD_recorded_prevalence,2019-04-01,2020-03-31,female,18 to 24,5910,816180,0.0072410497684334335
