Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,75 and over,0,50,0
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,75 and over,0,70,0
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,65 to 74,20,100,20
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,65 to 74,35,130,26.92307692
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,55 to 64,85,235,36.17021277
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,55 to 64,125,360,34.72222222
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,45 to 54,255,650,39.23076923
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,35 to 44,470,1045,44.97607656
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,45 to 54,400,1125,35.55555556
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,0 to 9,980,2155,45.47563805
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,35 to 44,820,2160,37.96296296
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,25 to 34,1025,2790,36.73835125
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,18 to 24,2255,4385,51.42531357
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,female,10 to 17,3460,5470,63.25411335
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,0 to 9,4560,8910,51.17845118
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,25 to 34,5730,13985,40.9724705
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,18 to 24,13485,22415,60.16060674
ADHD_medication_with_ADHD_diagnosis,01/04/2016,31/03/2017,male,10 to 17,17085,24525,69.66360856
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,male,75 and over,0,55,0
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,75 and over,0,75,0
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,65 to 74,20,120,16.66666667
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,male,65 to 74,45,150,30
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,55 to 64,110,285,38.59649123
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,male,55 to 64,170,450,37.77777778
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,45 to 54,330,785,42.03821656
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,35 to 44,600,1250,48
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,male,45 to 54,495,1300,38.07692308
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,0 to 9,1080,2420,44.62809917
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,male,35 to 44,1040,2720,38.23529412
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,25 to 34,1355,3485,38.88091822
ADHD_medication_with_ADHD_diagnosis,01/04/2017,31/03/2018,female,18 to 24,2615,4760,54.93697479
