Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,75 and over,105,715045,0.01468439
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,18 to 24,680,781120,0.087054486
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,18 to 24,3355,862980,0.388769149
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,10 to 17,1175,910505,0.129049264
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,75 and over,135,968895,0.013933398
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,10 to 17,5205,975765,0.533427618
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,65 to 74,175,1062200,0.01647524
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,65 to 74,180,1125055,0.015999218
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,0 to 9,395,1225005,0.032244766
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,55 to 64,200,1269560,0.015753489
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,55 to 64,235,1283885,0.01830382
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,0 to 9,1990,1289335,0.15434313
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,25 to 34,530,1361205,0.03893609
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,35 to 44,415,1370715,0.03027617
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,25 to 34,1920,1397550,0.137383278
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,35 to 44,530,1434630,0.036943323
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,female,45 to 54,370,1548240,0.023898104
ADHD_medication_without_ADHD_diagnosis,01/04/2016,31/03/2017,male,45 to 54,415,1602640,0.025894774
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,75 and over,115,732060,0.015709095
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,18 to 24,805,799460,0.100692968
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,18 to 24,3630,881400,0.411844792
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,10 to 17,1300,938950,0.138452527
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,75 and over,140,981775,0.014259886
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,10 to 17,5555,1003425,0.553603907
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,65 to 74,175,1090955,0.016040992
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,65 to 74,175,1155075,0.015150531
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,0 to 9,425,1249180,0.034022319
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,55 to 64,220,1311650,0.016772767
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,0 to 9,2045,1314895,0.155525726
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,55 to 64,260,1329810,0.019551665
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,35 to 44,475,1393030,0.034098332
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,25 to 34,660,1407775,0.046882492
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,25 to 34,2375,1453330,0.163417806
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,35 to 44,615,1465220,0.041973219
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,female,45 to 54,425,1570345,0.027064116
ADHD_medication_without_ADHD_diagnosis,01/04/2017,31/03/2018,male,45 to 54,465,1629865,0.02852997
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,75 and over,120,760855,0.01577173
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,18 to 24,900,805815,0.111688167
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,18 to 24,3775,889175,0.424550848
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,10 to 17,1335,971130,0.137468722
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,75 and over,145,1008480,0.014378074
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,10 to 17,5615,1033920,0.543078768
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,65 to 74,185,1108420,0.016690424
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,65 to 74,175,1173110,0.014917612
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,0 to 9,385,1254395,0.030692087
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,0 to 9,1825,1320385,0.138217262
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,55 to 64,245,1353825,0.018096874
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,55 to 64,295,1375855,0.021441213
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,35 to 44,515,1413105,0.036444567
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,25 to 34,770,1437205,0.053576212
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,25 to 34,2800,1494000,0.187416332
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,35 to 44,700,1494170,0.046848752
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,female,45 to 54,475,1576160,0.030136534
ADHD_medication_without_ADHD_diagnosis,01/04/2018,31/03/2019,male,45 to 54,500,1639725,0.030492918
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,75 and over,115,788515,0.014584377
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,18 to 24,985,816310,0.120664943
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,18 to 24,3900,892525,0.43696255
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,10 to 17,1350,1004120,0.134446082
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,75 and over,145,1034920,0.014010745
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,10 to 17,5545,1066370,0.519988372
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,65 to 74,205,1122475,0.018263213
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,65 to 74,180,1188065,0.015150686
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,0 to 9,360,1257265,0.028633582
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,0 to 9,1555,1324820,0.117374436
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,55 to 64,275,1397240,0.019681658
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,55 to 64,285,1421260,0.020052629
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,35 to 44,570,1444635,0.039456333
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,25 to 34,870,1474670,0.05899625
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,35 to 44,825,1530705,0.053896734
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,25 to 34,3215,1535445,0.209385553
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,female,45 to 54,530,1573940,0.033673456
ADHD_medication_without_ADHD_diagnosis,01/04/2019,31/03/2020,male,45 to 54,565,1639005,0.034472134
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,male,75 and over,115,806950,0.014251193
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,female,18 to 24,1050,841580,0.124765322
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,male,18 to 24,4125,917130,0.44977266
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,female,10 to 17,1365,1049390,0.130075568
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,female,75 and over,155,1050445,0.014755651
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,male,10 to 17,5410,1110305,0.487253502
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,male,65 to 74,200,1126930,0.017747331
ADHD_medication_without_ADHD_diagnosis,01/04/2020,31/03/2021,female,65 to 74,175,1197230,0.014617074
