Measure,Year_of_medication,Sex,Age_Band,Median,size
Median_time_ADHD_diagnosis_to_medication,2016-2017,female,0 to 9,12,440
Median_time_ADHD_diagnosis_to_medication,2016-2017,male,0 to 9,13,1910
Median_time_ADHD_diagnosis_to_medication,2017-2018,female,0 to 9,14,460
Median_time_ADHD_diagnosis_to_medication,2017-2018,male,0 to 9,14,2090
Median_time_ADHD_diagnosis_to_medication,2018-2019,female,0 to 9,14,510
Median_time_ADHD_diagnosis_to_medication,2018-2019,male,0 to 9,13,2500
Median_time_ADHD_diagnosis_to_medication,2019-2020,female,0 to 9,17,640
Median_time_ADHD_diagnosis_to_medication,2019-2020,male,0 to 9,16,2840
Median_time_ADHD_diagnosis_to_medication,2020-2021,female,0 to 9,17,490
Median_time_ADHD_diagnosis_to_medication,2020-2021,male,0 to 9,17,1960
Median_time_ADHD_diagnosis_to_medication,2021-2022,female,0 to 9,21,610
Median_time_ADHD_diagnosis_to_medication,2021-2022,male,0 to 9,19,2430
Median_time_ADHD_diagnosis_to_medication,2022-2023,female,0 to 9,22,750
Median_time_ADHD_diagnosis_to_medication,2022-2023,male,0 to 9,21,2750
Median_time_ADHD_diagnosis_to_medication,2023-2024,female,0 to 9,21,790
Median_time_ADHD_diagnosis_to_medication,2023-2024,male,0 to 9,21,2790
Median_time_ADHD_diagnosis_to_medication,2024-2025,female,0 to 9,24,830
Median_time_ADHD_diagnosis_to_medication,2024-2025,male,0 to 9,26,2720
Median_time_ADHD_diagnosis_to_medication,2016-2017,female,10 to 17,16,650
Median_time_ADHD_diagnosis_to_medication,2016-2017,male,10 to 17,18,2300
Median_time_ADHD_diagnosis_to_medication,2017-2018,female,10 to 17,15,690
Median_time_ADHD_diagnosis_to_medication,2017-2018,male,10 to 17,15,2540
Median_time_ADHD_diagnosis_to_medication,2018-2019,female,10 to 17,12,910
Median_time_ADHD_diagnosis_to_medication,2018-2019,male,10 to 17,16,3030
Median_time_ADHD_diagnosis_to_medication,2019-2020,female,10 to 17,15,1130
Median_time_ADHD_diagnosis_to_medication,2019-2020,male,10 to 17,17,3630
